Designator,Mid X,Mid Y,Rotation,Layer
D46,308.4869,-79.6808,90.0,bottom
D47,337.0625,-79.6808,90.0,bottom
D48,356.1129,-79.6808,90.0,bottom
D49,375.1633,-79.6808,90.0,bottom
D5,132.2707,-41.58,90.0,bottom
D50,53.6878,-98.7312,90.0,bottom
D51,79.8821,-98.7312,90.0,bottom
D52,98.9325,-98.7312,90.0,bottom
D53,117.9829,-98.7312,90.0,bottom
D54,137.0333,-98.7312,90.0,bottom
D55,156.0837,-98.7312,90.0,bottom
D56,175.1341,-98.7312,90.0,bottom
D57,194.1845,-98.7312,90.0,bottom
D58,213.2349,-98.7312,90.0,bottom
D59,232.2853,-98.7312,90.0,bottom
D6,151.3211,-41.58,90.0,bottom
D60,251.3357,-98.7312,90.0,bottom
D61,270.3861,-98.7312,90.0,bottom
D62,301.343,-98.7312,90.0,bottom
D63,337.0625,-98.7312,90.0,bottom
D64,356.1129,-98.7312,90.0,bottom
D65,375.1633,-98.7312,90.0,bottom
D66,145.85,-141.0425,90.0,top
D67,58.4504,-117.7816,90.0,bottom
D68,89.4073,-117.7816,90.0,bottom
D69,108.4577,-117.7816,90.0,bottom
D7,170.3715,-41.58,90.0,bottom
D70,127.5081,-117.7816,90.0,bottom
D71,146.5585,-117.7816,90.0,bottom
D72,165.6089,-117.7816,90.0,bottom
D73,184.6593,-117.7816,90.0,bottom
D74,203.7097,-117.7816,90.0,bottom
D75,222.7601,-117.7816,90.0,bottom
D76,241.8105,-117.7816,90.0,bottom
D77,260.8609,-117.7816,90.0,bottom
D78,296.5804,-117.7816,90.0,bottom
D79,356.1129,-117.7816,90.0,bottom
D8,189.4219,-41.58,90.0,bottom
D80,48.9252,-136.832,90.0,bottom
D81,72.7382,-136.832,90.0,bottom
D82,96.5512,-136.832,90.0,bottom
D83,167.9902,-136.832,90.0,bottom
D84,239.4292,-136.832,90.0,bottom
D85,263.2422,-136.832,90.0,bottom
D86,287.0552,-136.832,90.0,bottom
D87,310.8682,-136.832,90.0,bottom
D88,337.0625,-136.832,90.0,bottom
D89,356.1129,-136.832,90.0,bottom
D9,208.4723,-41.58,90.0,bottom
D90,375.1633,-136.832,90.0,bottom
D91,179.82375,-133.9125,90.0,top
D92,183.6,-134.9,0.0,top
D93,372.75665,-35.17015,90.0,top
D94,325.65665,-47.07015,90.0,top
J1,26.875,-56.175,270.0,top
J2,29.095,-63.9,270.0,bottom
J3,27.1525,-106.465,270.0,top
J4,34.17,-113.0,270.0,bottom
J5,325.60665,-35.08015,180.0,bottom
LED1,42.8634,-41.99015,0.0,bottom
LED10,219.0759,-41.99015,0.0,bottom
LED11,238.1259,-41.99015,0.0,bottom
LED12,257.1759,-41.99015,0.0,bottom
LED13,276.2259,-41.99015,0.0,bottom
LED14,300.0384,-41.99015,0.0,bottom
LED15,38.1009,-61.04015,0.0,bottom
LED16,57.1509,-61.04015,0.0,bottom
LED17,76.2009,-61.04015,0.0,bottom
LED18,95.2509,-61.04015,0.0,bottom
LED19,114.3009,-61.04015,0.0,bottom
LED2,66.6759,-41.99015,0.0,bottom
LED20,133.3509,-61.04015,0.0,bottom
LED21,152.4009,-61.04015,0.0,bottom
LED22,171.4509,-61.04015,0.0,bottom
LED23,190.5009,-61.04015,0.0,bottom
